1,2,3,4,5,6,7,8,9,10,victories,total_score
0,0,12,0,0,26,1,0,34,27,2849.0,103029.5
3,3,6,12,13,23,1,3,29,7,2789.5,116007.5
0,0,14,2,0,23,3,0,35,23,2809.5,106106.0
0,0,12,2,1,22,1,6,31,25,2785.0,108508.0
0,1,11,2,5,23,1,1,35,21,2834.5,110397.0
3,3,7,13,11,22,4,2,26,9,2786.5,115854.0
0,0,0,15,18,2,4,1,35,25,2815.5,107731.0
0,0,12,0,0,23,0,0,34,31,2794.5,102638.5
0,0,14,0,0,24,1,0,32,29,2790.5,101939.0
0,0,13,0,0,23,3,0,34,27,2821.0,104800.0
0,0,3,15,2,23,3,2,31,21,2786.0,111887.5
0,0,0,15,22,1,2,3,35,22,2799.5,106774.5
0,3,2,15,18,2,5,0,32,23,2791.0,110438.0
0,0,12,0,0,24,5,3,32,24,2786.5,106939.0
0,3,8,12,12,0,22,5,32,6,2791.5,114326.0
0,0,11,1,0,24,0,4,34,26,2816.5,106176.0
0,0,13,2,0,23,0,0,35,27,2815.0,104089.0
0,0,9,0,2,2,28,31,5,23,2797.5,111805.5
0,3,10,0,3,23,2,2,33,24,2839.0,110890.5
3,3,8,8,13,21,0,5,33,6,2809.0,114942.5
3,3,7,15,12,21,2,5,26,6,2786.0,115599.5
3,2,1,14,2,21,3,27,5,22,2790.5,113891.0
0,0,13,1,1,24,0,0,32,29,2804.5,103665.5
0,0,12,0,0,23,0,0,33,32,2821.0,102696.5
0,0,3,15,19,1,2,0,33,27,2793.5,107640.5
0,0,12,0,0,24,5,1,32,26,2793.0,105950.5
0,0,12,0,0,24,0,0,35,29,2790.5,102038.5
0,3,3,15,19,2,4,0,32,22,2792.5,110754.5
3,2,8,12,13,21,1,2,31,7,2817.0,115643.5
0,0,10,0,0,23,3,3,34,27,2849.5,107827.0
0,0,11,0,0,24,2,0,33,30,2795.5,104204.0
0,0,12,2,0,23,3,4,31,25,2840.0,108565.5
0,3,2,15,3,16,4,28,6,23,2837.5,113509.5
3,3,7,9,14,23,3,5,27,6,2816.0,116579.0
0,0,8,15,13,1,23,4,31,5,2789.0,112648.5
0,0,12,0,0,23,0,0,34,31,2794.5,102682.5
0,0,13,0,0,23,3,0,35,26,2819.0,104740.0
0,0,13,0,4,24,2,0,34,23,2799.5,106326.5
0,0,0,15,19,2,2,0,34,28,2800.5,105633.0
0,0,15,0,0,23,1,0,35,26,2795.0,102357.5
3,0,6,15,12,23,3,3,29,6,2792.5,114834.5
0,0,0,15,20,2,3,0,34,26,2796.0,106211.0
3,3,11,0,2,22,1,3,33,22,2810.0,110723.5
0,3,2,15,1,22,2,26,6,23,2830.5,113826.5
0,0,13,0,0,23,0,1,36,27,2801.0,103149.0
3,3,6,12,11,22,0,3,31,9,2786.0,114533.5
0,3,2,15,19,2,2,5,31,21,2790.5,111418.0
3,3,7,9,14,23,0,2,32,7,2802.0,115126.0
0,2,2,10,3,23,3,32,4,21,2787.0,115408.5
3,3,8,10,12,22,0,3,33,6,2835.5,115172.5
3,3,6,13,11,24,2,5,26,7,2790.5,115822.0
0,0,13,0,0,23,2,0,34,28,2842.5,104065.5
0,0,15,0,1,23,0,1,35,25,2794.0,103508.0
0,0,13,0,0,24,2,4,32,25,2794.5,105941.5
0,3,0,15,21,2,2,2,32,23,2802.0,109010.0
0,0,2,14,17,0,4,3,34,26,2812.5,109325.0
0,3,13,2,3,23,0,0,35,21,2788.0,108243.5
3,3,9,8,11,23,4,3,29,7,2792.5,115721.0
0,2,11,3,3,23,3,0,32,23,2876.0,111356.0
0,0,11,0,2,24,0,0,35,28,2805.5,104545.0
1,0,13,0,0,25,1,0,33,27,2804.5,103233.0
3,3,10,1,2,22,1,2,35,21,2787.5,111494.0
3,3,10,9,10,22,3,1,32,7,2816.0,115041.0
0,3,2,15,18,2,1,5,33,21,2808.5,111516.0
0,3,8,3,3,23,0,5,34,21,2820.0,112187.0
0,0,0,15,21,3,3,0,33,25,2796.0,106230.5
0,0,12,0,0,24,0,0,32,32,2799.0,102241.0
1,0,12,1,0,23,1,0,36,26,2811.5,105199.0
0,0,12,0,0,23,4,0,34,27,2815.5,105428.5
3,3,6,14,13,20,3,3,28,7,2799.5,116032.5
0,0,14,1,0,23,2,0,33,27,2805.0,104743.0
0,0,13,0,0,24,1,0,34,28,2867.5,103006.5
0,3,0,15,18,2,3,1,32,26,2802.5,109286.5
0,0,15,0,1,24,1,0,33,26,2786.0,103288.0
0,0,0,15,18,0,3,3,35,26,2804.5,107091.5
0,0,9,15,16,0,22,0,32,6,2787.5,110932.5
3,3,6,9,12,22,1,5,33,6,2839.5,116333.5
0,0,10,0,0,24,1,1,32,32,2796.0,104877.5
0,0,0,15,19,0,2,2,34,28,2789.5,105697.5
0,1,12,0,0,26,0,0,33,28,2787.0,102634.0
0,3,3,12,3,24,1,26,7,21,2831.5,114383.0
0,0,12,3,0,23,5,0,35,22,2811.5,107593.5
1,0,0,15,20,2,3,0,32,27,2786.0,106413.5
0,0,11,0,0,22,3,3,36,25,2837.5,107317.0
0,0,11,0,1,24,0,0,35,29,2811.0,103541.0
2,1,3,15,3,19,2,26,6,23,2790.5,113342.0
0,0,11,0,0,23,0,2,35,29,2794.5,104345.5
0,0,13,0,0,27,1,0,33,26,2788.5,102055.0
0,0,11,0,0,24,6,2,35,22,2802.0,107132.0
1,0,0,15,17,1,2,4,32,28,2801.5,107752.5
0,0,3,15,21,0,3,0,33,25,2785.0,106772.0
0,0,11,0,0,24,0,0,33,32,2785.0,102696.5
3,3,6,12,13,22,0,4,31,6,2796.0,115571.5
0,0,0,15,2,21,3,31,5,23,2816.0,111789.0
0,0,13,0,0,23,2,2,33,27,2857.5,105925.0
0,3,11,5,0,22,3,2,33,21,2791.0,111393.0
0,0,14,0,0,24,1,0,33,28,2835.5,102455.0
0,0,0,15,20,1,2,0,34,28,2797.5,104785.5
0,3,2,13,18,0,2,3,33,26,2805.0,110453.0
0,0,6,15,17,0,21,1,32,8,2792.0,111958.0
0,0,10,0,5,24,4,3,32,22,2819.0,109900.5
0,0,15,0,0,23,1,0,35,26,2795.0,102424.5
0,0,3,15,18,1,5,1,35,22,2822.0,109726.5
0,0,11,0,0,24,0,0,33,32,2785.0,102648.5
0,0,12,0,0,23,0,0,32,33,2787.0,102373.5
0,0,12,0,0,23,0,2,35,28,2827.0,104387.5
0,3,11,2,2,22,3,0,35,22,2848.0,111197.5
0,0,8,12,17,0,26,0,32,5,2806.5,111704.0
0,0,12,0,0,23,5,0,33,27,2788.5,105318.0
3,2,6,13,12,22,3,7,26,6,2815.0,116287.0
3,2,6,8,17,21,0,2,33,8,2816.5,115051.5
3,3,6,13,12,23,2,4,26,8,2802.5,116437.5
0,0,15,0,0,24,1,0,34,26,2795.0,102117.0
0,0,12,0,0,24,0,0,32,32,2799.0,102222.5
0,3,11,8,10,21,4,4,33,6,2787.5,115149.0
0,1,13,0,0,23,0,0,36,27,2802.5,102998.0
0,0,0,15,2,22,4,31,5,21,2802.5,112394.0
3,3,8,15,11,22,3,1,27,7,2788.5,115483.0
3,3,8,9,10,22,4,4,31,6,2809.0,116074.0
0,0,12,1,0,23,4,0,33,27,2820.5,106430.5
0,0,12,0,0,26,1,0,37,24,2793.0,102210.5
0,0,13,0,0,23,3,0,33,28,2821.5,104536.5
0,0,15,0,0,24,1,0,33,27,2800.0,102085.5
0,0,12,0,0,24,0,0,33,31,2806.0,102354.0
2,3,8,11,11,23,0,3,33,6,2802.0,115205.5
0,0,2,15,18,3,4,0,35,23,2811.5,109131.5
2,0,12,2,3,23,0,2,33,23,2873.0,109372.5
0,0,1,15,17,4,4,3,33,23,2825.5,110344.0
0,0,12,0,0,23,5,0,33,27,2788.5,105265.0
0,0,12,0,1,24,0,0,35,28,2860.0,103513.5
0,2,0,15,19,2,1,2,32,27,2811.0,108200.5
0,0,13,1,0,23,0,1,36,26,2844.0,104244.5
0,2,12,0,1,25,1,0,35,24,2804.0,106027.0
0,0,0,15,19,2,3,0,33,28,2825.0,106217.5
0,0,9,13,12,0,27,0,33,6,2804.0,111918.0
0,0,12,0,0,24,0,0,32,32,2799.0,102251.0
0,0,11,0,2,24,0,0,35,28,2805.5,104507.5
0,0,15,0,0,24,1,0,33,27,2800.0,102089.0
1,3,2,15,2,22,4,26,5,20,2809.5,114859.5
0,3,0,15,18,3,2,3,34,22,2798.5,110380.0
0,3,12,0,1,23,0,4,34,23,2824.5,108266.0
0,0,13,0,0,24,1,0,32,30,2794.5,102499.0
0,0,0,15,19,2,3,5,35,21,2786.5,108821.5
0,0,12,0,0,23,0,0,33,32,2821.0,102729.0
3,0,9,12,13,23,3,1,30,6,2801.0,114204.5
0,0,0,15,18,0,3,2,35,27,2819.0,106599.5
0,0,12,0,0,24,0,2,34,28,2807.5,104091.0
1,3,2,15,4,20,2,26,6,21,2804.0,113881.5
0,0,0,15,18,2,4,0,33,28,2813.5,106610.0
0,3,0,15,20,2,3,0,33,24,2785.0,107992.5
3,3,7,11,11,23,3,27,6,6,2786.5,118596.0
3,3,9,8,11,20,4,3,32,7,2788.0,115731.0
0,0,15,3,0,23,2,3,32,22,2788.0,107351.5
0,0,13,2,1,23,1,0,35,25,2882.0,106453.0
0,3,10,1,1,22,1,2,34,26,2794.0,110237.5
0,3,10,1,3,22,3,5,31,22,2856.0,112562.5
0,0,15,0,0,23,2,3,35,22,2795.5,105408.0
0,0,0,15,16,2,3,4,33,27,2795.0,108807.0
0,0,12,0,0,24,0,1,32,31,2823.0,103228.0
0,0,0,15,18,1,5,2,36,23,2797.5,107667.0
1,0,1,15,21,1,2,0,35,24,2814.0,106359.0
0,0,15,0,0,24,1,0,34,26,2795.0,102097.5
0,0,0,15,21,1,3,0,33,27,2815.0,105416.5
0,3,11,0,1,24,2,1,33,25,2835.5,108688.0
0,0,12,1,0,24,0,2,36,25,2858.0,104982.0
0,0,15,0,0,24,1,0,35,25,2796.0,102013.5
0,0,11,3,0,23,2,2,31,28,2810.0,107987.0
0,3,4,15,17,0,2,3,35,21,2788.0,111004.5
0,0,12,0,0,24,0,0,33,31,2806.0,102376.0
0,0,15,0,0,23,1,2,32,27,2789.0,103974.5
0,3,2,13,4,24,2,25,5,22,2788.5,113581.5
0,0,13,0,0,23,0,1,32,31,2807.0,103121.5
0,0,11,0,0,25,4,1,36,23,2789.5,105973.0
3,3,6,15,11,21,4,2,27,8,2787.0,115607.0
0,0,12,0,0,25,0,1,34,28,2794.5,103178.5
3,3,7,11,12,20,2,3,33,6,2812.0,116133.5
0,2,3,15,3,20,1,27,6,23,2814.5,113330.0
0,1,15,2,2,22,3,2,31,22,2831.0,109586.0
0,0,11,0,0,24,0,0,33,32,2785.0,102670.5
3,3,7,11,10,23,4,6,26,7,2793.5,115978.5
3,3,10,0,1,24,3,1,33,22,2791.5,110130.5
0,0,15,0,2,23,3,0,35,22,2791.0,105786.0
0,0,0,15,21,2,3,0,32,27,2807.5,105873.0
0,0,13,0,0,23,2,0,33,29,2823.5,103712.5
0,0,11,0,1,23,0,0,33,32,2798.0,104173.5
3,3,6,13,12,23,5,1,28,6,2802.5,115917.5
0,0,13,1,0,24,0,0,34,28,2827.5,102952.0
0,0,0,15,17,2,3,2,35,26,2842.0,108353.0
0,3,12,0,0,23,0,3,35,24,2802.5,106745.5
3,0,11,0,2,24,3,2,33,22,2821.5,109581.0
0,0,12,0,0,24,0,0,32,32,2799.0,102205.5
0,3,2,15,3,16,6,26,7,22,2797.5,113145.5
0,3,1,15,19,2,4,2,32,22,2824.5,111274.5
0,0,0,14,21,1,4,1,32,27,2809.0,106516.5
0,0,0,15,20,2,2,0,35,26,2788.0,105649.0
0,0,13,1,0,24,0,0,36,26,2812.0,102896.0
0,0,13,1,0,24,0,0,33,29,2812.5,102640.0
0,0,11,0,0,24,0,0,33,32,2785.0,102657.5
0,3,2,15,17,0,3,6,32,22,2792.0,111061.0
0,0,12,1,0,24,0,0,33,30,2808.5,103166.5
3,0,7,13,11,22,2,4,33,5,2823.0,114779.0
0,0,15,0,0,24,1,0,34,26,2795.0,102113.5
3,3,9,9,11,22,2,3,31,7,2839.0,115864.5
0,0,12,0,3,25,1,2,34,23,2805.0,107470.5
3,3,6,15,12,23,4,2,26,6,2786.0,116299.5
3,3,6,12,11,23,3,2,31,6,2864.0,116738.0
0,0,15,0,0,24,1,0,34,26,2795.0,102107.5
0,0,12,0,0,23,0,0,33,32,2821.0,102718.5
0,0,0,15,18,0,3,2,35,27,2819.0,106599.5
0,0,10,10,16,1,23,1,32,7,2799.0,112703.5
3,0,8,8,17,22,4,2,31,5,2792.0,114993.5
3,3,10,0,1,24,4,2,32,21,2792.0,110652.5
0,0,12,0,0,23,2,4,33,26,2850.0,106946.5
0,3,0,15,18,2,3,4,33,22,2826.5,110825.0
0,0,13,0,0,24,1,0,35,27,2878.0,103157.5
0,0,11,0,2,23,5,4,34,21,2858.0,109904.0
0,0,13,3,2,23,1,0,34,24,2848.5,107539.5
0,3,2,15,17,4,0,4,33,22,2787.0,110628.5
0,3,0,15,18,1,2,5,33,23,2825.5,109663.5
3,3,8,12,12,22,4,3,25,8,2808.0,116509.5
0,0,13,4,2,23,3,0,32,23,2823.0,108838.0
0,0,11,0,2,24,0,0,35,28,2805.5,104561.0
0,0,0,15,19,0,2,2,34,28,2789.5,105694.0
0,3,3,15,16,2,0,4,34,23,2803.0,110823.5
0,1,15,2,2,23,0,0,34,23,2812.5,106067.5
0,3,10,0,1,23,0,2,34,27,2787.5,108006.5
0,0,1,15,18,0,2,3,34,27,2803.5,107596.0
3,3,8,9,16,23,3,2,27,6,2785.5,116601.0
0,0,0,15,19,0,3,3,33,27,2787.0,106808.5
3,0,6,9,16,21,2,3,33,7,2880.0,115717.5
3,3,11,2,0,22,2,4,32,21,2793.0,111164.0
0,0,12,0,2,22,3,0,37,24,2805.5,106383.5
0,0,11,0,0,24,0,0,33,32,2785.0,102654.5
0,0,2,15,17,0,4,3,34,25,2810.0,109197.5
0,0,14,0,0,23,2,0,35,26,2807.5,103656.0
0,0,0,15,18,2,3,0,32,30,2793.5,105931.5
0,0,12,2,0,24,0,0,36,26,2793.5,104053.0
0,0,0,15,2,23,3,26,6,25,2805.0,111116.0
0,3,4,12,4,22,0,29,5,21,2788.0,113537.0
3,3,6,15,11,20,2,3,31,6,2795.0,115114.0
3,3,9,8,12,23,3,0,32,7,2792.5,115206.0
0,1,13,0,1,26,1,0,33,25,2807.0,104565.0
3,3,6,13,13,23,2,2,29,6,2785.5,116089.0
3,3,7,15,13,22,3,2,26,6,2791.0,116392.5
0,0,12,0,0,23,0,1,33,31,2843.5,103711.5
3,0,6,15,12,22,0,3,33,6,2788.0,113829.0
0,3,2,15,17,2,0,4,33,24,2810.0,110321.5
0,0,11,0,0,23,0,2,35,29,2794.5,104353.0
1,0,2,15,19,0,3,2,36,22,2794.5,108777.5
1,0,11,2,0,23,2,6,33,22,2854.0,109601.5
0,3,2,15,18,0,3,0,32,27,2786.5,108490.0
0,0,13,0,1,23,0,0,36,27,2823.5,103255.0
0,0,11,0,0,24,2,0,33,30,2795.5,104179.5
0,0,12,2,5,22,5,1,31,22,2808.0,109985.5
0,3,2,14,3,22,1,25,7,23,2836.0,113473.0
0,0,12,0,1,24,0,0,36,27,2843.5,103412.5
0,0,0,15,21,2,2,0,33,27,2807.0,105484.5
0,0,9,15,13,0,21,3,33,6,2812.0,112072.0
0,0,11,0,4,25,4,3,32,21,2804.5,109399.5
0,0,2,15,17,0,2,4,36,24,2804.5,108392.5
0,3,12,2,2,24,2,4,31,20,2820.0,111341.5
0,0,12,0,0,24,0,0,33,31,2806.0,102309.5
0,0,12,0,0,25,1,0,35,27,2869.0,103307.0
0,3,2,15,19,2,0,1,35,23,2786.0,109021.0
0,0,12,0,0,23,0,0,33,32,2821.0,102679.0
0,0,12,0,1,23,3,5,35,21,2856.0,108785.0
0,0,0,15,17,0,3,2,34,29,2786.5,106233.5
3,0,10,9,12,2,20,31,6,7,2792.5,114924.0
0,0,13,0,0,23,2,0,32,30,2787.0,103537.5
3,3,7,8,15,22,2,3,29,8,2785.0,116239.5
0,0,12,0,0,24,1,0,37,26,2833.0,102911.5
0,0,15,0,0,23,1,0,34,27,2794.5,102435.5
0,0,4,15,18,0,4,1,35,23,2790.5,108922.0
3,1,7,13,11,21,4,3,29,8,2813.0,115274.0
0,0,3,15,21,1,2,4,33,21,2809.5,109594.5
0,0,0,15,20,2,2,0,33,28,2797.0,105428.0
0,0,15,0,0,24,1,0,33,27,2800.0,102065.0
0,0,13,0,0,26,1,0,33,27,2830.0,102506.5
3,2,3,15,18,1,3,1,32,22,2796.5,111521.0
3,3,7,13,11,23,4,2,26,8,2806.5,116140.0
0,0,13,2,0,23,0,5,35,22,2796.5,106550.0
3,3,6,15,12,20,3,3,29,6,2788.5,115335.0
0,0,15,0,0,23,3,2,35,22,2799.5,105619.0
0,0,13,0,0,24,2,1,32,28,2845.0,104634.0
0,0,12,0,0,23,0,1,33,31,2843.5,103721.5
3,3,6,8,12,23,5,6,27,7,2792.5,116628.5
0,0,14,0,0,25,1,0,35,25,2807.5,102264.0
0,3,14,0,1,23,2,2,34,21,2796.0,108527.5
0,0,14,0,0,24,1,0,35,26,2838.5,102628.5
0,0,13,0,0,24,3,0,33,27,2816.0,104467.0
0,3,13,2,4,22,0,4,32,20,2791.0,110073.0
0,0,0,15,20,2,4,0,35,24,2790.5,106321.5
0,0,12,0,2,25,0,0,35,26,2807.0,104141.0
0,0,12,0,2,24,0,0,33,29,2798.0,103943.5
0,0,13,0,0,23,3,0,36,25,2794.5,104427.0
0,0,11,0,0,23,1,0,33,32,2822.0,104088.5
0,0,11,0,0,24,0,0,33,32,2785.0,102660.0
3,3,6,11,11,21,0,4,33,8,2796.5,114867.0
3,3,8,11,12,23,1,1,31,7,2789.5,115226.5
0,0,2,15,21,0,2,3,34,23,2822.5,108150.0
0,0,12,0,0,23,1,0,35,29,2871.0,103438.0
0,0,15,0,0,23,1,0,35,26,2795.0,102364.5
0,0,12,0,0,23,0,0,34,31,2794.5,102658.5
0,3,11,0,0,23,0,4,35,24,2793.5,107141.5
0,0,0,15,20,2,3,0,34,26,2796.0,106185.5
3,3,8,13,11,22,2,3,29,6,2804.0,115690.5
0,0,14,0,0,24,1,0,36,25,2814.5,102302.5
0,3,10,1,0,22,2,2,35,25,2797.5,109664.5
3,1,1,13,2,22,4,26,6,22,2839.0,114183.5
0,3,8,9,13,22,0,4,35,6,2787.0,114878.5
0,3,11,4,6,23,3,3,35,12,2795.0,114336.0
0,0,13,0,0,25,1,2,33,26,2828.0,104589.0
3,3,8,1,2,23,3,4,32,21,2822.5,113544.5
0,0,13,0,0,23,0,1,34,29,2790.5,102989.5
0,0,2,15,21,1,3,0,35,23,2814.5,107515.5
0,3,2,15,18,4,0,3,33,22,2791.0,110489.0
0,0,12,0,0,23,0,0,32,33,2787.0,102366.0
0,0,15,1,1,24,0,2,34,23,2815.0,105145.5
0,0,15,0,2,23,3,0,33,24,2797.5,105598.5
0,0,11,0,3,24,5,1,32,24,2840.5,108476.5
0,0,15,0,2,24,2,0,34,23,2792.0,104932.0
0,0,11,0,0,24,4,0,34,27,2789.5,105372.0
0,0,14,1,0,23,0,2,32,28,2804.0,104319.0
0,3,2,13,2,23,0,29,6,22,2825.5,113197.0
0,0,12,0,0,25,1,0,32,30,2788.0,102683.5
3,0,6,8,13,23,4,3,35,5,2830.0,115293.5
0,0,0,15,18,2,4,5,33,23,2822.0,109183.5
3,1,6,12,13,22,2,6,29,6,2801.0,115623.0
0,0,0,15,19,3,3,4,33,23,2811.0,108997.5
2,3,1,15,18,2,3,4,31,21,2802.0,111898.0
0,0,11,0,0,23,1,0,33,32,2822.0,104122.0
0,0,12,0,1,26,0,0,36,25,2796.0,102725.5
0,0,12,0,0,24,0,0,32,32,2799.0,102201.0
